127.0.0.1 - - [28/Mar/2023:09:44:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:44:18 +0900] "GET /biz/member/login.jsp HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:44:18 +0900] "GET /biz/member/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:44:18 +0900] "GET /biz/member/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:44:19 +0900] "GET /biz/member/assets/favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:44:29 +0900] "GET /biz/member/join.jsp HTTP/1.1" 200 6050
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:44:29 +0900] "GET /biz/member/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:44:29 +0900] "GET /biz/member/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:48:32 +0900] "GET /biz/member/join.jsp HTTP/1.1" 200 6054
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:48:32 +0900] "GET /biz/member/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:48:32 +0900] "GET /biz/member/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:50:35 +0900] "GET /biz/member/join.jsp HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:50:35 +0900] "GET /biz/member/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:50:35 +0900] "GET /biz/member/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:51:14 +0900] "GET /biz/member/join.jsp HTTP/1.1" 200 5978
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:51:14 +0900] "GET /biz/member/css/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:51:14 +0900] "GET /biz/member/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:51:22 +0900] "GET /biz/member/join.jsp HTTP/1.1" 200 5978
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:51:23 +0900] "GET /biz/member/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:51:23 +0900] "GET /biz/member/css/styles.css HTTP/1.1" 404 721
